JDAY,K,I,EX_TOXIN_1,EX_TOXIN_2,EX_TOXIN_3,EX_TOXIN_4,IN_TOXIN_1,IN_TOXIN_2,IN_TOXIN_3,IN_TOXIN_4,CTESS_TOXIN_1,CTESS_TOXIN_2,CTESS_TOXIN_3,CTESS_TOXIN_4,ALG_1,
    68.500,  15,  28,  0.2691E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7113E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1162E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1431E-01,
    68.604,   8,  28,  0.5136E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2869E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1146E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5624E-01,
    68.604,  15,  28,  0.3047E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8434E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1554E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1717E-01,
    68.701,   8,  28,  0.5010E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2082E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6841E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4050E-01,
    68.701,  15,  28,  0.3519E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1164E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2939E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2392E-01,
    68.806,   8,  28,  0.4912E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1407E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2871E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2755E-01,
    68.806,  15,  28,  0.4174E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1694E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5374E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3462E-01,
    68.903,   8,  28,  0.4914E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1197E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1591E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2368E-01,
    68.903,  15,  28,  0.4904E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2184E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7491E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4429E-01,
    69.000,   8,  28,  0.4932E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1115E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1068E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2233E-01,
