$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
   190.604,   32.68
   190.701,   32.80
   190.806,   32.80
   190.903,   32.75
   191.000,   32.71
   191.104,   32.62
   191.201,   32.52
   191.306,   32.46
   191.403,   32.50
   191.500,   32.63
   191.604,   32.81
   191.701,   32.95
   191.806,   33.01
   191.903,   33.00
   192.000,   32.95
   192.104,   32.83
   192.201,   32.72
   192.306,   32.64
   192.403,   32.69
   192.500,   32.81
   192.604,   33.01
   192.701,   33.16
   192.806,   33.25
   192.903,   33.21
   193.000,   33.09
   193.104,   33.02
   193.201,   32.96
   193.306,   32.86
   193.403,   32.87
   193.500,   33.01
   193.604,   33.18
   193.701,   33.34
   193.806,   33.36
   193.903,   33.31
   194.000,   33.24
   194.104,   33.10
   194.201,   32.97
   194.306,   32.85
   194.403,   32.86
   194.500,   32.96
   194.604,   33.16
   194.701,   33.32
   194.806,   33.41
   194.903,   33.35
   195.000,   33.23
   195.104,   33.10
   195.201,   33.03
   195.306,   32.97
   195.403,   33.00
   195.500,   33.11
   195.604,   33.29
   195.701,   33.34
   195.806,   33.27
   195.903,   33.36
   196.000,   33.34
   196.104,   33.22
   196.201,   33.09
   196.306,   32.99
   196.403,   33.05
   196.500,   33.22
   196.604,   33.48
   196.701,   33.67
   196.806,   33.71
   196.903,   33.58
   197.000,   33.44
   197.104,   33.42
   197.201,   33.34
   197.306,   33.25
   197.403,   33.25
   197.500,   33.36
   197.604,   33.55
   197.701,   33.74
   197.806,   33.78
   197.903,   33.72
   198.000,   33.62
   198.104,   33.48
   198.201,   33.38
   198.306,   33.28
   198.403,   33.31
   198.500,   33.42
   198.604,   33.64
   198.701,   33.77
   198.806,   33.80
   198.903,   33.74
   199.000,   33.62
   199.104,   33.48
   199.201,   33.35
   199.306,   33.24
   199.403,   33.26
   199.500,   33.39
   199.604,   33.59
   199.701,   33.74
   199.806,   33.84
   199.903,   33.74
   200.000,   33.62
   200.104,   33.47
   200.201,   33.38
   200.306,   33.31
   200.403,   33.34
   200.500,   33.43
   200.604,   33.59
   200.701,   33.67
   200.806,   33.56
